"Semana.Semana";SOJA/EM GRÃOS/MS/Preco Medio Comercializado
"2013-12-30";64.07
"2014-01-06";61.31
"2014-01-13";59.5
"2014-01-20";58.24
"2014-01-27";56.33
"2014-02-03";56.78
"2014-02-10";57.57
"2014-02-17";60.17
"2014-02-24";61.24
"2014-03-03";61.43
"2014-03-10";60.98
"2014-03-17";61.8
"2014-03-24";60.28
"2014-03-31";60.58
"2014-04-07";60.88
"2014-04-14";61.32
"2014-04-21";60.26
"2014-04-28";61.61
"2014-05-05";60.15
"2014-05-12";60.97
"2014-05-19";61.41
"2014-05-26";61.64
"2014-06-02";62.72
"2014-06-09";62.01
"2014-06-16";60.89
"2014-06-23";60.75
"2014-06-30";59.22
"2014-07-07";57.45
"2014-07-14";57.6
"2014-07-21";56.7
"2014-07-28";58.6
"2014-08-04";58.91
"2014-08-11";58.61
"2014-08-18";58.42
"2014-08-25";57.68
"2014-09-01";56.03
"2014-09-08";54.23
"2014-09-15";54.36
"2014-09-22";54.41
"2014-09-29";54.49
"2014-10-06";54.36
"2014-10-13";54.92
"2014-10-20";55.42
"2014-10-27";59.3
"2014-11-03";59.77
"2014-11-10";61.15
"2014-11-17";60.29
"2014-11-24";59.97
"2014-12-01";59.28
"2014-12-08";59.17
"2014-12-15";59.19
"2014-12-22";59.19
"2014-12-29";59.38
"2015-01-05";58.97
"2015-01-12";57.22
"2015-01-19";50.67
"2015-01-26";49.67
"2015-02-02";51.6
"2015-02-09";52.98
"2015-02-16";53.45
"2015-02-23";54.65
"2015-03-02";54.68
"2015-03-09";56.79
"2015-03-16";57.62
"2015-03-23";57.15
"2015-03-30";56.9
"2015-04-06";56.52
"2015-04-13";55.21
"2015-04-20";54.68
"2015-04-27";53.61
"2015-05-04";54.76
"2015-05-11";54.54
"2015-05-18";54.02
"2015-05-25";54.25
"2015-06-01";55.03
"2015-06-08";55.57
"2015-06-15";55.17
"2015-06-22";55.71
"2015-06-29";57.25
"2015-07-06";58.17
"2015-07-13";60.02
"2015-07-20";61.16
"2015-07-27";61.0
"2015-08-03";61.53
"2015-08-10";62.92
"2015-08-17";62.92
"2015-08-24";63.86
"2015-08-31";67.93
"2015-09-07";69.41
"2015-09-14";69.05
"2015-09-21";71.98
"2015-09-28";71.95
"2015-10-05";71.4
"2015-10-12";71.35
"2015-10-19";72.26
"2015-10-26";71.84
"2015-11-02";72.07
"2015-11-09";71.69
"2015-11-16";71.69
"2015-11-23";71.25
"2015-11-30";71.49
"2015-12-07";71.44
"2015-12-14";71.32
"2015-12-21";71.86
"2015-12-28";71.27
"2016-01-04";70.97
"2016-01-11";70.3
"2016-01-18";72.36
"2016-01-25";70.03
"2016-02-01";67.86
"2016-02-08";64.82
"2016-02-15";63.88
"2016-02-22";63.79
"2016-02-29";62.46
"2016-03-07";61.21
"2016-03-14";59.92
"2016-03-21";60.76
"2016-03-28";61.37
"2016-04-04";60.71
"2016-04-11";60.37
"2016-04-18";62.08
"2016-04-25";67.38
"2016-05-02";69.84
"2016-05-09";73.23
"2016-05-16";73.88
"2016-05-23";75.15
"2016-05-30";79.34
"2016-06-06";84.23
"2016-06-13";85.4
"2016-06-20";82.44
"2016-06-27";81.65
"2016-07-04";79.09
"2016-07-11";76.93
"2016-07-18";75.52
"2016-07-25";73.97
"2016-08-01";71.52
"2016-08-08";71.05
"2016-08-15";73.5
"2016-08-22";74.45
"2016-08-29";71.62
"2016-09-05";70.71
"2016-09-12";70.54
"2016-09-19";71.46
"2016-09-26";70.4
"2016-10-03";70.13
"2016-10-10";70.46
"2016-10-17";69.57
"2016-10-24";68.32
"2016-10-31";67.36
"2016-11-07";66.51
"2016-11-14";68.41
"2016-11-21";67.1
"2016-11-28";68.25
"2016-12-05";69.15
"2016-12-12";69.45
"2016-12-19";69.09
"2016-12-26";68.04
"2017-01-02";66.28
"2017-01-09";65.58
"2017-01-16";65.12
"2017-01-23";66.09
"2017-01-30";63.65
"2017-02-06";62.2
"2017-02-13";61.26
"2017-02-20";59.62
"2017-02-27";58.75
"2017-03-06";58.11
"2017-03-13";57.07
"2017-03-20";55.77
"2017-03-27";53.66
"2017-04-03";51.64
"2017-04-10";51.17
"2017-04-17";53.12
"2017-04-24";54.47
"2017-05-01";56.49
"2017-05-08";58.18
"2017-05-15";56.95
"2017-05-22";57.7
"2017-05-29";56.59
"2017-06-05";55.74
"2017-06-12";56.09
"2017-06-19";55.82
"2017-06-26";54.88
"2017-07-03";56.68
"2017-07-10";60.89
"2017-07-17";58.05
"2017-07-24";57.62
"2017-07-31";56.33
"2017-08-07";56.15
"2017-08-14";56.64
"2017-08-21";54.63
"2017-08-28";57.19
"2017-09-04";57.99
"2017-09-11";57.99
"2017-09-18";58.39
"2017-09-25";60.35
"2017-10-02";59.75
"2017-10-09";59.92
"2017-10-16";61.29
"2017-10-23";61.19
"2017-10-30";61.23
"2017-11-06";62.5
"2017-11-13";61.97
"2017-11-20";62.88
"2017-11-27";61.72
"2017-12-04";63.02
"2017-12-11";62.83
"2017-12-18";62.4
"2017-12-25";62.55
"2018-01-01";62.32
"2018-01-08";63.42
"2018-01-15";62.78
"2018-01-22";61.9
"2018-01-29";61.09
"2018-02-05";59.86
"2018-02-12";60.31
"2018-02-19";62.22
"2018-02-26";64.89
"2018-03-05";65.24
"2018-03-12";65.81
"2018-03-19";64.81
"2018-03-26";65.74
"2018-04-02";67.31
"2018-04-09";71.93
"2018-04-16";71.9
"2018-04-23";71.82
"2018-04-30";72.8
"2018-05-07";73.05
"2018-05-14";72.84
"2018-05-21";72.56
"2018-05-28";73.3
"2018-06-04";72.25
"2018-06-11";69.63
"2018-06-18";68.55
"2018-06-25";68.19
"2018-07-02";72.18
"2018-07-09";73.37
"2018-07-16";73.88
"2018-07-23";73.54
"2018-07-30";76.62
"2018-08-06";74.04
"2018-08-13";76.55
"2018-08-20";78.17
"2018-08-27";77.16
"2018-09-03";78.14
"2018-09-10";78.77
"2018-09-17";78.74
"2018-09-24";81.06
"2018-10-01";81.76
"2018-10-08";80.11
"2018-10-15";78.47
"2018-10-22";78.41
"2018-10-29";74.74
"2018-11-05";75.95
"2018-11-12";74.38
"2018-11-19";73.84
"2018-11-26";73.34
"2018-12-03";73.17
"2018-12-10";73.93
"2018-12-17";73.24
"2018-12-24";73.02
"2018-12-31";72.68
"2019-01-07";66.67
"2019-01-14";63.66
"2019-01-21";65.5
"2019-01-28";66.01
"2019-02-04";64.44
"2019-02-11";66.01
"2019-02-18";67.27
"2019-02-25";67.25
"2019-03-04";67.27
"2019-03-11";66.39
"2019-03-18";66.66
"2019-03-25";67.1
"2019-04-01";66.58
"2019-04-08";67.01
"2019-04-15";66.14
"2019-04-22";65.91
"2019-04-29";65.44
"2019-05-06";62.67
"2019-05-13";64.2
"2019-05-20";64.77
"2019-05-27";69.08
"2019-06-03";68.8
"2019-06-10";68.06
"2019-06-17";68.59
"2019-06-24";69.39
"2019-07-01";67.13
"2019-07-08";66.14
"2019-07-15";66.8
"2019-07-22";66.43
"2019-07-29";68.11
"2019-08-05";71.24
"2019-08-12";73.12
"2019-08-19";73.38
"2019-08-26";75.75
"2019-09-02";74.71
"2019-09-09";71.72
"2019-09-16";74.34
"2019-09-23";72.37
"2019-09-30";73.14
"2019-10-07";74.83
"2019-10-14";77.17
"2019-10-21";76.21
"2019-10-28";76.6
"2019-11-04";76.46
"2019-11-11";77.85
"2019-11-18";80.63
"2019-11-25";82.09
"2019-12-02";82.14
"2019-12-09";78.09
"2019-12-16";78.65
"2019-12-23";76.04
"2019-12-30";77.17
"2020-01-06";75.09
"2020-01-13";76.97
"2020-01-20";74.08
"2020-01-27";73.67
"2020-02-03";73.13
"2020-02-10";74.42
"2020-02-17";75.03
"2020-02-24";75.95
"2020-03-02";79.34
"2020-03-09";79.37
"2020-03-16";81.01
"2020-03-23";81.02
"2020-03-30";82.46
"2020-04-06";82.86
"2020-04-13";82.61
"2020-04-20";84.18
"2020-04-27";84.69
"2020-05-04";89.51
"2020-05-11";92.53
"2020-05-18";93.4
"2020-05-25";91.82
"2020-06-01";91.89
"2020-06-08";91.87
"2020-06-15";93.66
"2020-06-22";92.87
"2020-06-29";95.62
"2020-07-06";98.4
"2020-07-13";105.2
"2020-07-20";107.18
"2020-07-27";109.18
"2020-08-03";109.85
"2020-08-10";112.19
"2020-08-17";117.97
"2020-08-24";122.51
"2020-08-31";125.0
"2020-09-07";127.61
"2020-09-14";130.89
"2020-09-21";141.56
"2020-09-28";149.33
"2020-10-05";151.89
"2020-10-12";155.22
"2020-10-19";160.44
"2020-10-26";164.44
"2020-11-02";171.69
"2020-11-09";171.99
"2020-11-16";163.95
"2020-11-23";154.13
"2020-11-30";153.78
"2020-12-07";142.78
"2020-12-14";137.67
"2020-12-21";140.0
"2020-12-28";140.0
"2021-01-04";149.92
"2021-01-11";158.15
"2021-01-18";157.15
"2021-01-25";157.15
"2021-02-01";150.57
"2021-02-08";151.61
"2021-02-15";149.8
"2021-02-22";150.84
"2021-03-01";152.76
"2021-03-08";152.52
"2021-03-15";152.2
"2021-03-22";152.2
"2021-03-29";154.4
"2021-04-05";155.33
"2021-04-12";158.52
"2021-04-19";168.88
"2021-04-26";163.95
"2021-05-03";164.91
"2021-05-10";163.39
"2021-05-17";160.54
"2021-05-24";158.48
"2021-05-31";159.82
"2021-06-07";155.18
"2021-06-14";148.02
"2021-06-21";137.98
"2021-06-28";146.53
"2021-07-05";149.0
"2021-07-12";154.89
"2021-07-19";160.22
"2021-07-26";157.57
"2021-08-02";156.62
"2021-08-09";156.69
"2021-08-16";157.77
"2021-08-23";157.42
"2021-08-30";151.46
"2021-09-06";157.28
"2021-09-13";159.95
"2021-09-20";160.45
"2021-09-27";160.52
"2021-10-04";160.81
"2021-10-11";155.29
"2021-10-18";157.27
"2021-10-25";159.01
"2021-11-01";154.79
"2021-11-08";146.32
"2021-11-15";151.51
"2021-11-22";154.78
"2021-11-29";152.06
"2021-12-06";154.05
"2021-12-13";156.26
"2021-12-20";158.76
"2021-12-27";162.34
"2022-01-03";164.67
"2022-01-10";164.3
"2022-01-17";163.37
"2022-01-24";165.07
"2022-01-31";176.89
"2022-02-07";182.18
"2022-02-14";176.39
"2022-02-21";190.7
"2022-02-28";189.3
"2022-03-07";194.78
"2022-03-14";189.69
"2022-03-21";179.82
"2022-03-28";172.04
"2022-04-04";169.69
"2022-04-11";169.19
"2022-04-18";173.95
"2022-04-25";179.37
"2022-05-02";176.78
"2022-05-09";179.42
"2022-05-16";178.02
"2022-05-23";176.4
"2022-05-30";175.55
"2022-06-06";181.14
"2022-06-13";179.89
"2022-06-20";170.08
"2022-06-27";176.06
"2022-07-04";169.43
"2022-07-11";170.18
"2022-07-18";164.17
"2022-07-25";174.4
"2022-08-01";170.29
"2022-08-08";170.83
"2022-08-15";167.03
"2022-08-22";172.88
"2022-08-29";173.28
"2022-09-05";171.3
"2022-09-12";172.55
"2022-09-19";169.65
"2022-09-26";172.28
"2022-10-03";164.15
"2022-10-10";169.1
"2022-10-17";168.06
"2022-10-24";176.15
"2022-10-31";171.0
"2022-11-07";177.96
"2022-11-14";173.29
"2022-11-21";169.5
"2022-11-28";172.4
"2022-12-05";169.02
"2022-12-12";168.79
"2022-12-19";167.1
"2022-12-26";165.27
"2023-01-02";164.92
"2023-01-09";161.97
"2023-01-16";159.61
"2023-01-23";153.49
"2023-01-30";156.35
"2023-02-06";155.17
"2023-02-13";155.23
"2023-02-20";152.31
"2023-02-27";150.87
"2023-03-06";149.72
"2023-03-13";145.81
"2023-03-20";133.11
"2023-03-27";135.73
"2023-04-03";135.42
"2023-04-10";126.34
"2023-04-17";126.6
"2023-04-24";117.57
"2023-05-01";119.44
"2023-05-08";120.94
"2023-05-15";117.46
"2023-05-22";116.98
"2023-05-29";115.12
"2023-06-05";115.89
"2023-06-12";114.23
"2023-06-19";117.28
"2023-06-26";114.57
"2023-07-03";119.82
"2023-07-10";120.0
"2023-07-17";124.36
"2023-07-24";126.97
"2023-07-31";125.34
"2023-08-07";123.29
"2023-08-14";125.05
"2023-08-21";127.05
"2023-08-28";127.92
"2023-09-04";129.56
"2023-09-11";129.99
"2023-09-18";124.02
"2023-09-25";125.11
"2023-10-02";123.86
"2023-10-09";122.72
"2023-10-16";124.79
"2023-10-23";124.0
"2023-10-30";124.75
"2023-11-06";124.63
"2023-11-13";127.05
"2023-11-20";127.59
