"Semana.Semana";CANA DE ACUCAR/NÃO INFORMADO/SP/Preco Medio Comercializado
"2015-11-02";54.67
"2015-11-09";55.11
"2015-11-16";55.11
"2015-11-23";55.96
"2015-11-30";58.97
"2015-12-07";60.81
"2015-12-14";61.66
"2015-12-21";61.66
"2015-12-28";62.01
"2016-01-04";62.89
"2016-01-11";63.13
"2016-01-18";63.14
"2016-01-25";63.35
"2016-02-01";63.38
"2016-02-08";63.46
"2016-02-15";63.83
"2016-02-22";64.17
"2016-02-29";65.57
"2016-03-07";65.83
"2016-03-14";65.83
"2016-03-21";66.44
"2016-03-28";66.26
"2016-04-04";66.5
"2016-04-11";66.3
"2016-04-18";67.23
"2016-04-25";67.38
"2016-05-02";67.4
"2016-05-09";67.4
"2016-05-16";67.45
"2016-05-23";68.12
"2016-05-30";68.49
"2016-06-06";70.29
"2016-06-13";70.75
"2016-06-20";70.74
"2016-06-27";70.61
"2016-07-04";70.75
"2016-07-11";70.68
"2016-07-18";70.62
"2016-07-25";71.21
"2016-08-01";71.53
"2016-08-08";71.51
"2016-08-15";72.22
"2016-08-22";72.56
"2016-08-29";72.93
"2016-09-05";73.43
"2016-09-12";73.88
"2016-09-19";73.78
"2016-09-26";73.95
"2016-10-03";73.97
"2016-10-10";74.28
"2016-10-17";74.33
"2016-10-24";74.67
"2016-10-31";74.81
"2016-11-07";75.56
"2016-11-14";76.73
"2016-11-21";77.55
"2016-11-28";78.1
"2016-12-05";78.51
"2016-12-12";78.67
"2016-12-19";79.01
"2016-12-26";79.66
"2017-01-02";79.99
"2017-01-09";80.28
"2017-01-16";80.75
"2017-01-23";80.96
"2017-01-30";81.51
"2017-02-06";82.75
"2017-02-13";82.74
"2017-02-20";79.59
"2017-02-27";81.72
"2017-03-06";82.51
"2017-03-13";83.14
"2017-03-20";83.79
"2017-03-27";84.21
"2017-04-03";84.28
"2017-04-10";84.52
"2017-04-17";84.52
"2017-04-24";84.19
"2017-05-01";84.02
"2017-05-08";83.75
"2017-05-15";83.65
"2017-05-22";83.63
"2017-05-29";83.93
"2017-06-05";84.0
"2017-06-12";82.5
"2017-06-19";81.5
"2017-06-26";80.75
"2017-07-03";80.94
"2017-07-10";75.58
"2017-07-17";75.58
"2017-07-24";76.02
"2017-07-31";76.02
"2017-08-07";77.8
"2017-08-14";73.07
"2017-08-21";73.07
"2017-08-28";73.92
"2017-09-04";73.07
"2017-09-11";73.07
"2017-09-18";71.39
"2017-09-25";71.39
"2017-10-02";71.39
"2017-10-09";72.56
"2017-10-16";70.19
"2017-10-23";70.19
"2017-10-30";70.19
"2017-11-06";70.19
"2017-11-13";69.64
"2017-11-20";69.64
"2017-11-27";68.2
"2017-12-04";69.64
"2017-12-11";69.64
"2017-12-18";69.75
"2017-12-25";69.71
"2018-01-01";69.75
"2018-01-08";69.75
"2018-02-26";70.93
"2018-03-05";70.93
"2018-03-12";70.93
"2018-03-19";71.28
"2018-03-26";71.28
"2018-04-02";71.28
"2018-04-09";71.28
"2018-04-16";71.97
"2018-04-23";71.97
"2018-04-30";71.97
"2018-05-07";71.97
"2018-05-14";69.17
"2018-05-21";69.17
"2018-05-28";69.17
"2018-06-04";69.17
"2018-06-11";69.17
"2018-06-18";69.08
"2018-06-25";69.08
"2018-07-02";69.08
"2018-07-09";69.08
"2018-07-16";69.74
"2018-07-23";69.74
"2018-07-30";69.74
"2018-08-06";69.74
"2018-08-13";69.74
"2018-08-20";69.01
"2018-08-27";74.13
"2018-09-03";69.01
"2018-09-10";69.01
"2018-09-17";68.29
"2018-09-24";68.29
"2018-10-01";68.29
"2018-10-08";68.27
"2018-10-15";68.77
"2018-10-22";68.77
"2018-10-29";68.77
"2018-11-05";68.77
"2018-11-12";68.77
"2018-11-19";69.08
"2018-11-26";69.08
"2018-12-03";69.08
"2018-12-10";69.08
"2018-12-17";69.83
"2018-12-24";69.83
"2018-12-31";69.83
"2019-01-07";69.83
"2019-01-14";70.11
"2019-01-21";70.11
"2019-01-28";70.11
"2019-02-04";70.09
"2019-02-11";70.1
"2019-02-18";70.21
"2019-02-25";70.21
"2019-03-04";70.21
"2019-03-11";70.21
"2019-03-18";70.39
"2019-03-25";70.39
"2019-04-01";70.39
"2019-04-08";70.39
"2019-04-15";71.06
"2019-04-22";71.06
"2019-04-29";71.06
"2019-05-06";71.06
"2019-05-13";71.06
"2019-05-20";76.34
"2019-05-27";78.34
"2019-06-03";78.34
"2019-06-10";78.34
"2019-06-17";77.0
"2019-06-24";77.0
"2019-07-01";77.0
"2019-07-08";77.0
"2019-07-15";75.51
"2019-07-22";75.51
"2019-07-29";75.51
"2019-08-05";75.51
"2019-08-12";75.51
"2019-08-19";74.79
"2019-08-26";74.79
"2019-09-02";74.79
"2019-09-09";74.79
"2019-09-16";74.9
"2019-09-23";74.9
"2019-09-30";74.75
"2019-10-07";74.9
"2019-10-14";74.87
"2019-10-21";74.87
"2019-10-28";74.87
"2019-11-04";74.87
"2019-11-11";74.82
"2019-11-18";75.05
"2019-11-25";75.05
"2019-12-02";75.05
"2019-12-09";75.05
"2019-12-16";76.08
"2019-12-23";76.08
"2019-12-30";76.08
"2020-01-06";76.08
"2020-01-13";76.9
"2020-01-20";76.9
"2020-01-27";76.9
"2020-02-03";76.9
"2020-02-10";76.9
"2020-02-17";77.9
"2020-02-24";77.9
"2020-03-02";77.9
"2020-03-09";77.9
"2020-03-16";79.12
"2020-03-23";79.12
"2020-03-30";79.12
"2020-04-06";79.12
"2020-04-13";79.12
"2020-04-20";80.24
"2020-04-27";80.24
"2020-05-04";80.24
"2020-05-11";80.24
"2020-05-18";85.44
"2020-05-25";85.44
"2020-06-01";85.44
"2020-06-08";85.44
"2020-06-15";84.89
"2020-06-22";84.89
"2020-06-29";84.89
"2020-07-06";84.89
"2020-07-13";84.89
"2020-07-20";83.35
"2020-07-27";83.35
"2020-08-03";83.35
"2020-08-10";83.35
"2020-08-17";82.46
"2020-08-24";82.46
"2020-08-31";82.46
"2020-09-07";82.46
"2020-09-14";82.46
"2020-09-21";82.87
"2020-09-28";82.87
"2020-10-05";82.87
"2020-10-12";82.87
"2020-10-19";83.88
"2020-10-26";87.59
"2020-11-02";95.46
"2020-11-09";87.59
"2020-11-16";95.46
"2020-11-23";95.46
"2020-11-30";98.97
"2020-12-07";98.85
"2020-12-14";98.97
"2020-12-21";98.97
"2020-12-28";98.97
"2021-01-04";98.97
"2021-01-11";98.43
"2021-01-18";98.43
"2021-01-25";98.43
"2021-02-01";103.43
"2021-02-08";103.43
"2021-02-15";103.43
"2021-02-22";103.43
"2021-03-01";111.68
"2021-03-08";111.68
"2021-03-15";103.83
"2021-03-22";103.83
"2021-03-29";103.83
"2021-04-05";124.17
"2021-04-12";124.17
"2021-04-19";124.17
"2021-04-26";124.17
"2021-05-03";121.83
"2021-05-10";121.83
"2021-05-17";121.83
"2021-05-24";121.83
"2021-05-31";126.91
"2021-06-07";126.91
"2021-06-14";126.91
"2021-06-21";126.91
"2021-06-28";126.91
"2021-07-05";127.71
"2021-07-12";126.41
"2021-07-19";127.71
"2021-07-26";127.71
"2021-08-02";130.69
"2021-08-09";130.69
"2021-08-16";130.63
"2021-08-23";130.69
"2021-08-30";137.26
"2021-09-06";137.26
"2021-09-13";137.24
"2021-09-20";137.26
"2021-09-27";137.26
"2021-10-04";145.27
"2021-10-11";145.27
"2021-10-18";145.27
"2021-10-25";145.27
"2021-11-01";155.44
"2021-11-08";155.44
"2021-11-15";155.44
"2021-11-22";155.44
"2021-11-29";155.44
"2021-12-06";164.91
"2021-12-13";164.91
"2021-12-20";164.91
"2021-12-27";164.91
"2022-01-03";159.35
"2022-01-10";159.35
"2022-01-17";159.35
"2022-01-24";159.35
"2022-01-31";159.35
"2022-02-07";156.88
"2022-02-14";156.88
"2022-02-21";156.88
"2022-02-28";156.88
"2022-03-07";156.88
"2022-03-14";141.21
"2022-03-21";141.11
"2022-03-28";141.11
"2022-04-04";141.6
"2022-04-11";141.6
"2022-04-18";141.6
"2022-04-25";141.6
"2022-05-02";149.61
"2022-05-09";149.61
"2022-05-16";149.61
"2022-05-23";149.61
"2022-05-30";149.61
"2022-06-06";146.71
"2022-06-13";146.71
"2022-06-20";146.71
"2022-06-27";146.71
"2022-07-04";142.48
"2022-07-11";142.21
"2022-07-18";142.48
"2022-07-25";142.48
"2022-08-01";144.61
"2022-08-08";144.61
"2022-08-15";144.61
"2022-08-22";144.61
"2022-08-29";144.61
"2022-09-05";136.8
"2022-09-12";136.8
"2022-09-19";136.8
"2022-09-26";136.8
"2022-10-03";141.45
"2022-10-10";141.45
"2022-10-17";141.45
"2022-10-24";141.45
"2022-10-31";133.1
"2022-11-07";133.1
"2022-11-14";133.1
"2022-11-21";133.1
"2022-11-28";133.1
"2022-12-05";140.55
"2022-12-12";140.55
"2022-12-19";140.55
"2022-12-26";140.55
"2023-01-02";140.4
"2023-01-09";140.4
"2023-01-16";140.4
"2023-01-23";140.4
"2023-01-30";140.4
"2023-02-06";138.91
"2023-02-13";138.91
"2023-02-20";138.91
"2023-02-27";138.91
"2023-03-06";140.35
"2023-03-13";140.35
"2023-03-20";140.35
"2023-03-27";140.35
"2023-04-03";140.65
"2023-04-10";140.65
"2023-04-17";140.65
"2023-04-24";140.65
"2023-05-01";140.65
"2023-05-08";145.72
"2023-05-15";145.72
"2023-05-22";145.72
"2023-05-29";145.72
"2023-06-05";144.57
"2023-06-12";144.57
"2023-06-19";144.57
"2023-06-26";144.57
"2023-07-03";144.57
"2023-07-10";145.68
"2023-07-17";145.68
"2023-07-24";145.68
"2023-07-31";145.6
"2023-08-07";145.4
"2023-08-14";146.37
"2023-08-21";145.46
"2023-08-28";148.28
"2023-09-04";148.28
"2023-09-11";148.28
"2023-09-18";145.49
"2023-09-25";145.49
"2023-10-02";145.49
"2023-10-09";145.45
"2023-10-16";145.45
"2023-10-23";145.45
"2023-10-30";145.45
"2023-11-06";145.45
"2023-11-13";145.45
"2023-11-20";145.45
"2023-11-27";145.95
